Step [9] Epoch [19/80], Discriminator 0.0486, Generator 11.5117
Step [10] Epoch [19/80], Discriminator 0.0564, Generator 5.9339
Step [11] Epoch [19/80], Discriminator 0.0448, Generator 5.5429
Step [12] Epoch [19/80], Discriminator 0.0466, Generator 8.6895
Epoch [19/80], Discriminator 0.0588, Generator 11.8903
Step [0] Epoch [20/80], Discriminator 0.1679, Generator 9.8142
Step [1] Epoch [20/80], Discriminator 0.1559, Generator 6.3136
Step [2] Epoch [20/80], Discriminator 0.2552, Generator 8.3667
Step [3] Epoch [20/80], Discriminator 0.2879, Generator 7.7389
Step [4] Epoch [20/80], Discriminator 0.1478, Generator 5.8708
Step [5] Epoch [20/80], Discriminator 0.0411, Generator 6.6546
Step [6] Epoch [20/80], Discriminator 0.1672, Generator 6.1691
Step [7] Epoch [20/80], Discriminator 0.1142, Generator 6.8330
Step [8] Epoch [20/80], Discriminator 0.0655, Generator 5.3626
Step [9] Epoch [20/80], Discriminator 0.1387, Generator 6.1575
Step [10] Epoch [20/80], Discriminator 0.0746, Generator 6.9560
Step [11] Epoch [20/80], Discriminator 0.1219, Generator 9.2236
Step [12] Epoch [20/80], Discriminator 0.1113, Generator 7.2493
Epoch [20/80], Discriminator 0.0919, Generator 4.5730
Step [0] Epoch [21/80], Discriminator 0.0449, Generator 5.6052
Step [1] Epoch [21/80], Discriminator 0.1456, Generator 8.1304
Step [2] Epoch [21/80], Discriminator 0.1187, Generator 7.6968
Step [3] Epoch [21/80], Discriminator 0.0262, Generator 8.2217
Step [4] Epoch [21/80], Discriminator 0.0392, Generator 5.4188
Step [5] Epoch [21/80], Discriminator 0.1224, Generator 5.4092
Step [6] Epoch [21/80], Discriminator 0.2299, Generator 7.7151
Step [7] Epoch [21/80], Discriminator 0.1558, Generator 4.8154
Step [8] Epoch [21/80], Discriminator 0.0943, Generator 5.1342
Step [9] Epoch [21/80], Discriminator 0.0568, Generator 5.3042
Step [10] Epoch [21/80], Discriminator 0.0263, Generator 5.2517
Step [11] Epoch [21/80], Discriminator 0.0608, Generator 6.3607
Step [12] Epoch [21/80], Discriminator 0.0291, Generator 10.5735
Epoch [21/80], Discriminator 0.0619, Generator 9.2954
Step [0] Epoch [22/80], Discriminator 0.0502, Generator 8.3018
Step [1] Epoch [22/80], Discriminator 0.1481, Generator 6.8659
Step [2] Epoch [22/80], Discriminator 0.2037, Generator 8.6777
Step [3] Epoch [22/80], Discriminator 0.0449, Generator 8.4897
Step [4] Epoch [22/80], Discriminator 0.0558, Generator 9.9917
Step [5] Epoch [22/80], Discriminator 0.1034, Generator 6.5705
Step [6] Epoch [22/80], Discriminator 0.0862, Generator 6.5794
Step [7] Epoch [22/80], Discriminator 0.0866, Generator 8.1009
Step [8] Epoch [22/80], Discriminator 0.2397, Generator 4.2973
Step [9] Epoch [22/80], Discriminator 0.2095, Generator 5.3779
Step [10] Epoch [22/80], Discriminator 0.2238, Generator 8.4464
Step [11] Epoch [22/80], Discriminator 0.2664, Generator 5.0181
Step [12] Epoch [22/80], Discriminator 0.0569, Generator 13.9965
Epoch [22/80], Discriminator 0.0619, Generator 5.4865
Step [0] Epoch [23/80], Discriminator 0.1071, Generator 7.8725
Step [1] Epoch [23/80], Discriminator 0.0780, Generator 5.8790
Step [2] Epoch [23/80], Discriminator 0.2448, Generator 4.5710
Step [3] Epoch [23/80], Discriminator 0.0276, Generator 8.0547
Step [4] Epoch [23/80], Discriminator 0.0998, Generator 7.3294
Step [5] Epoch [23/80], Discriminator 0.1216, Generator 7.9129
Step [6] Epoch [23/80], Discriminator 0.0986, Generator 5.9532
Step [7] Epoch [23/80], Discriminator 0.0844, Generator 9.1612
Step [8] Epoch [23/80], Discriminator 0.0889, Generator 4.9375
Step [9] Epoch [23/80], Discriminator 0.0586, Generator 8.2564
Step [10] Epoch [23/80], Discriminator 0.1398, Generator 5.7573
Step [11] Epoch [23/80], Discriminator 0.2255, Generator 6.2540
Step [12] Epoch [23/80], Discriminator 0.1052, Generator 5.4871
Epoch [23/80], Discriminator 0.2664, Generator 8.1302
Step [0] Epoch [24/80], Discriminator 0.2570, Generator 3.9719
Step [1] Epoch [24/80], Discriminator 0.1539, Generator 4.9590
Step [2] Epoch [24/80], Discriminator 0.1024, Generator 5.3327
Step [3] Epoch [24/80], Discriminator 0.0575, Generator 5.2999
Step [4] Epoch [24/80], Discriminator 0.3713, Generator 4.5390
Step [5] Epoch [24/80], Discriminator 0.0520, Generator 6.4334
Step [6] Epoch [24/80], Discriminator 0.2259, Generator 5.3646
Step [7] Epoch [24/80], Discriminator 0.0315, Generator 6.6916
Step [8] Epoch [24/80], Discriminator 0.1302, Generator 4.9382
Step [9] Epoch [24/80], Discriminator 0.1239, Generator 6.6705
Step [10] Epoch [24/80], Discriminator 0.0845, Generator 5.2442
Step [11] Epoch [24/80], Discriminator 0.0539, Generator 9.3779
Step [12] Epoch [24/80], Discriminator 0.1029, Generator 6.6733
Epoch [24/80], Discriminator 0.1130, Generator 4.7971
Step [0] Epoch [25/80], Discriminator 0.1927, Generator 4.7498
Step [1] Epoch [25/80], Discriminator 0.1172, Generator 4.3883
Step [2] Epoch [25/80], Discriminator 0.1752, Generator 9.3459
Step [3] Epoch [25/80], Discriminator 0.0973, Generator 5.0761
Step [4] Epoch [25/80], Discriminator 0.0750, Generator 5.6018
Step [5] Epoch [25/80], Discriminator 0.1259, Generator 7.3682
Step [6] Epoch [25/80], Discriminator 0.1723, Generator 8.5266
Step [7] Epoch [25/80], Discriminator 0.2914, Generator 4.1065
Step [8] Epoch [25/80], Discriminator 0.1225, Generator 7.0438
Step [9] Epoch [25/80], Discriminator 0.1312, Generator 4.4224
Step [10] Epoch [25/80], Discriminator 0.1354, Generator 4.0103
Step [11] Epoch [25/80], Discriminator 0.2852, Generator 5.3472
Step [12] Epoch [25/80], Discriminator 0.2286, Generator 3.3679
Epoch [25/80], Discriminator 0.1735, Generator 5.0826
Step [0] Epoch [26/80], Discriminator 0.1599, Generator 7.3963
Step [1] Epoch [26/80], Discriminator 0.0985, Generator 6.1303
Step [2] Epoch [26/80], Discriminator 0.0303, Generator 7.7906
Step [3] Epoch [26/80], Discriminator 0.0715, Generator 4.3248
Step [4] Epoch [26/80], Discriminator 0.0195, Generator 8.8857
Step [5] Epoch [26/80], Discriminator 0.0570, Generator 5.4795
Step [6] Epoch [26/80], Discriminator 0.0943, Generator 7.5767
Step [7] Epoch [26/80], Discriminator 0.1404, Generator 6.1869
Step [8] Epoch [26/80], Discriminator 0.4539, Generator 5.9460
Step [9] Epoch [26/80], Discriminator 0.0921, Generator 10.9159
Step [10] Epoch [26/80], Discriminator 0.1815, Generator 8.1316
Step [11] Epoch [26/80], Discriminator 0.1770, Generator 7.6066
Step [12] Epoch [26/80], Discriminator 0.0523, Generator 6.4795
Epoch [26/80], Discriminator 0.2385, Generator 6.9589
Step [0] Epoch [27/80], Discriminator 0.0791, Generator 6.2249
Step [1] Epoch [27/80], Discriminator 0.0949, Generator 4.8029
Step [2] Epoch [27/80], Discriminator 0.4145, Generator 5.4601
Step [3] Epoch [27/80], Discriminator 0.0666, Generator 7.9375
Step [4] Epoch [27/80], Discriminator 0.0189, Generator 9.0760
Step [5] Epoch [27/80], Discriminator 0.1721, Generator 5.5168
Step [6] Epoch [27/80], Discriminator 0.0435, Generator 5.3528
Step [7] Epoch [27/80], Discriminator 0.2028, Generator 6.7761
Step [8] Epoch [27/80], Discriminator 0.1385, Generator 8.1076
Step [9] Epoch [27/80], Discriminator 0.3162, Generator 5.7335
Step [10] Epoch [27/80], Discriminator 0.0574, Generator 7.0250
Step [11] Epoch [27/80], Discriminator 0.0906, Generator 6.4862
Step [12] Epoch [27/80], Discriminator 0.0828, Generator 6.6935
Epoch [27/80], Discriminator 0.2870, Generator 5.3531
Step [0] Epoch [28/80], Discriminator 0.1281, Generator 6.3860
Step [1] Epoch [28/80], Discriminator 0.0495, Generator 4.3450
Step [2] Epoch [28/80], Discriminator 0.1209, Generator 8.4579
Step [3] Epoch [28/80], Discriminator 0.1023, Generator 7.4621
Step [4] Epoch [28/80], Discriminator 0.0255, Generator 9.0228
Step [5] Epoch [28/80], Discriminator 0.1588, Generator 4.3261
Step [6] Epoch [28/80], Discriminator 0.1031, Generator 7.5212
Step [7] Epoch [28/80], Discriminator 0.1684, Generator 4.9735
Step [8] Epoch [28/80], Discriminator 0.1548, Generator 6.7520
Step [9] Epoch [28/80], Discriminator 0.0519, Generator 9.2440
Step [10] Epoch [28/80], Discriminator 0.1241, Generator 7.4269
Step [11] Epoch [28/80], Discriminator 0.7132, Generator 5.9089
Step [12] Epoch [28/80], Discriminator 0.2082, Generator 5.6980
Epoch [28/80], Discriminator 0.0848, Generator 3.4170
Step [0] Epoch [29/80], Discriminator 0.3897, Generator 4.3104
Step [1] Epoch [29/80], Discriminator 0.0535, Generator 7.2420
Step [2] Epoch [29/80], Discriminator 0.0859, Generator 16.9154
Step [3] Epoch [29/80], Discriminator 0.1022, Generator 4.5827
Step [4] Epoch [29/80], Discriminator 0.0867, Generator 5.6947
Step [5] Epoch [29/80], Discriminator 0.1100, Generator 5.0123
Step [6] Epoch [29/80], Discriminator 0.0585, Generator 7.5876
Step [7] Epoch [29/80], Discriminator 0.0424, Generator 5.8974
Step [8] Epoch [29/80], Discriminator 0.0671, Generator 5.7417
Step [9] Epoch [29/80], Discriminator 0.1359, Generator 4.6966
Step [10] Epoch [29/80], Discriminator 0.0752, Generator 9.2772
Step [11] Epoch [29/80], Discriminator 0.0904, Generator 7.2263
Step [12] Epoch [29/80], Discriminator 0.0537, Generator 3.6257
Epoch [29/80], Discriminator 0.0626, Generator 6.6631
Step [0] Epoch [30/80], Discriminator 0.0251, Generator 6.5101
Step [1] Epoch [30/80], Discriminator 0.1481, Generator 5.5995
Step [2] Epoch [30/80], Discriminator 0.0753, Generator 5.9782
Step [3] Epoch [30/80], Discriminator 0.0521, Generator 9.0375
Step [4] Epoch [30/80], Discriminator 0.3527, Generator 4.6106
Step [5] Epoch [30/80], Discriminator 0.2829, Generator 4.6202
Step [6] Epoch [30/80], Discriminator 0.0405, Generator 6.9082
Step [7] Epoch [30/80], Discriminator 0.3057, Generator 4.8529
Step [8] Epoch [30/80], Discriminator 0.0783, Generator 7.4482
Step [9] Epoch [30/80], Discriminator 0.2052, Generator 4.3855
